,Titulo,Año de estreno - Año finalización,Generos
3775,Harry Potter y la cámara secreta,2002,"Adventure, Family, Fantasy"
3776,La cosa del otro mundo,1982,"Horror, Mystery, Sci-Fi"
3777,The Missing,2014–2016,"Crime, Drama, Mystery"
3778,Watchmen,2019,"Crime, Drama, Mystery"
3779,Beck,1997– ,"Crime, Mystery, Thriller"
3780,Enola Holmes,2020,"Action, Adventure, Crime"
3781,Perry Mason: The Case of the Notorious Nun,1986 TV Movie,"Crime, Drama, Mystery"
3782,Revenge,2011–2015,"Drama, Mystery, Thriller"
3783,Shakespeare & Hathaway: Private Investigators,2018– ,"Comedy, Crime, Drama"
3784,New Tricks,2003–2015,"Comedy, Crime, Drama"
3785,Carrie: extraño presentimiento,1976,"Horror, Mystery"
3786,No hables con extraños,I) (2020,"Crime, Drama, Mystery"
3787,Los nuevos mutantes,2020,"Action, Horror, Mystery"
3788,1408,2007,"Fantasy, Horror, Mystery"
3789,Tully,2018,"Comedy, Drama, Mystery"
3790,The OA,2016–2019,"Drama, Fantasy, Mystery"
3791,Espiral: El Juego Del Miedo Continúa,2021,"Crime, Drama, Horror"
3792,Zodiaco,2007,"Crime, Drama, Mystery"
3793,Malos momentos en el Hotel Royale,2018,"Crime, Drama, Mystery"
3794,The Magicians,2015–2020,"Drama, Fantasy, Mystery"
3795,Broadchurch,2013–2017,"Crime, Drama, Mystery"
3796,Nosotros,II) (2019,"Horror, Mystery, Thriller"
3797,La raiz del miedo,1996,"Crime, Drama, Mystery"
3798,La última puerta,1999,"Mystery, Thriller"
3799,The Deep House,2021,"Drama, Horror, Mystery"
3800,The Night Of,2016,"Crime, Drama, Mystery"
3801,Harley Quinn,2019– ,"Animation, Action, Adventure"
3802,La mujer que cantaba,2010,"Drama, Mystery, War"
3803,Espíritus Oscuros,2021,"Drama, Horror, Mystery"
3804,Batman: La serie animada,1992–1995,"Animation, Action, Adventure"
3805,Harry Potter y las reliquias de la muerte (1ª parte),2010,"Adventure, Family, Fantasy"
3806,Coco,I) (2017,"Animation, Adventure, Comedy"
3807,La ventana secreta,2004,"Drama, Mystery, Thriller"
3808,Tenemos que hablar de Kevin,2011,"Drama, Mystery, Thriller"
3809,Rizzoli & Isles,2010–2016,"Crime, Drama, Mystery"
3810,¿Quién engañó a Roger Rabbit?,1988,"Animation, Adventure, Comedy"
3811,Submission,2016,"Drama, Mystery, Romance"
3812,Harry Potter y la orden del Fénix,2007,"Action, Adventure, Family"
3813,The Undoing,2020,"Crime, Drama, Mystery"
3814,Devs,2020,"Drama, Mystery, Sci-Fi"
3815,NYPD Blue,1993–2005,"Crime, Drama, Mystery"
3816,Twin Peaks,2017,"Crime, Drama, Horror"
3817,Salinui chueok,2003,"Crime, Drama, Mystery"
3818,Mortdecai: el artista del engaño,2015,"Action, Adventure, Comedy"
3819,Sherlock Holmes 3,,"Action, Adventure, Mystery"
3820,Muerte en el Nilo,1978,"Crime, Drama, Mystery"
3821,The Closer,2005–2012,"Crime, Drama, Mystery"
3822,Los huéspedes,I) (2015,"Horror, Mystery, Thriller"
3823,Umma,2022,"Drama, Horror, Mystery"
3824,Lewis,2006–2015,"Crime, Drama, Mystery"
3825,Sister Boniface Mysteries,2022– ,"Comedy, Crime, Drama"
3826,Grantchester,2014– ,"Crime, Drama, Mystery"
3827,Hunters,2020– ,"Crime, Drama, Mystery"
3828,Sicario: día del soldado,2018,"Action, Adventure, Crime"
3829,Viernes 13,2009,"Horror, Mystery, Thriller"
3830,Harry Potter y el misterio del príncipe,2009,"Action, Adventure, Family"
3831,Holes,2003,"Adventure, Comedy, Drama"
3832,The Bad Batch,2016,"Action, Horror, Mystery"
3833,Medici,2016–2019,"Biography, Drama, History"
3834,Clifton Hill,2019,"Drama, Mystery, Thriller"
3835,El inspector Morse,1987–2000,"Crime, Drama, Mystery"
3836,Ad Astra: hacia las estrellas,2019,"Adventure, Drama, Mystery"
3837,Yakamoz S-245,2022– ,"Action, Adventure, Drama"
3838,CSI: Nueva York,2004–2013,"Action, Crime, Drama"
3839,Barrio Chino,1974,"Drama, Mystery, Thriller"
3840,Defending Jacob,2020,"Crime, Drama, Mystery"
3841,Martha Marcy May Marlene,2011,"Drama, Mystery, Thriller"
3842,Miami Vice,1984–1989,"Action, Crime, Drama"
3843,Oscuro deseo,2020–2022,"Drama, Mystery, Thriller"
3844,The Rockford Files,1974–1980,"Crime, Drama, Mystery"
3845,Escape Room 2: Reto Mortal,2021,"Action, Adventure, Horror"
3846,Bates Motel,2013–2017,"Drama, Horror, Mystery"
3847,Minority report: Sentencia previa,2002,"Action, Crime, Mystery"
3848,Palm Springs,2020,"Comedy, Fantasy, Mystery"
3849,Castle Rock,2018–2019,"Drama, Fantasy, Horror"
3850,La chica del tren,2016,"Crime, Drama, Mystery"
3851,The Wolf of Snow Hollow,2020,"Comedy, Horror, Mystery"
3852,The Rental,2020,"Drama, Horror, Mystery"
3853,Una serie de eventos desafortunados,2017–2019,"Adventure, Comedy, Drama"
3854,La maldición de Bly Manor,2020,"Drama, Horror, Mystery"
3855,Matlock,1986–1995,"Crime, Drama, Mystery"
3856,Echo,2023– ,"Action, Adventure, Crime"
3857,City of Lies,2018,"Biography, Crime, Drama"
3858,The Ballad of Buster Scruggs,2018,"Comedy, Drama, Musical"
3859,¡Madre!,2017,"Drama, Horror, Mystery"
3860,Luther,2010–2019,"Crime, Drama, Mystery"
3861,El mundo oculto de Sabrina,2018–2020,"Drama, Fantasy, Horror"
3862,La huérfana,2009,"Horror, Mystery, Thriller"
3863,Viajeros,2016–2018,"Drama, Mystery, Sci-Fi"
3864,La guerra de los mundos,2019– ,"Drama, Mystery, Sci-Fi"
3865,12 monos,1995,"Mystery, Sci-Fi, Thriller"
3866,Cordero,2021,"Drama, Fantasy, Horror"
3867,Saw: juego macabro,2004,"Horror, Mystery, Thriller"
3868,El aro,2002,"Horror, Mystery"
3869,El plan perfecto,2006,"Crime, Drama, Mystery"
3870,12th Man,2022,"Drama, Mystery, Thriller"
3871,Lupin,2021– ,"Action, Crime, Drama"
3872,The Drowning,2021,"Drama, Mystery, Thriller"
3873,Eso,1990,"Drama, Horror, Mystery"
3874,Annika,2021– ,"Crime, Drama, Mystery"
3875,American Horror Stories,2021– ,"Drama, Horror, Mystery"
3876,Harry Wild,2022– ,"Drama, Mystery, Thriller"
3877,Detrás de sus ojos,2021,"Drama, Mystery, Thriller"
3878,Major Crimes,2012–2018,"Action, Crime, Drama"
3879,El código Da Vinci,2006,"Mystery, Thriller"
3880,Siniestro,I) (2012,"Horror, Mystery, Thriller"
3881,El juego de la sospecha,1985,"Comedy, Crime, Mystery"
3882,Miénteme,2009–2011,"Crime, Drama, Mystery"
3883,Leverage,2008–2012,"Crime, Mystery, Thriller"
3884,La isla de la fantasía,2020,"Fantasy, Horror, Mystery"
3885,La aldea,2004,"Drama, Mystery, Thriller"
3886,11.22.63,2016,"Drama, Mystery, Romance"
3887,El Conjuro 3: El Diablo Me Obligó A Hacerlo,2021,"Horror, Mystery, Thriller"
3888,Identidad,2003,"Mystery, Thriller"
3889,Scream 4,2011,"Horror, Mystery"
3890,Río místico,2003,"Crime, Drama, Mystery"
3891,Vivarium,2019,"Horror, Mystery, Sci-Fi"
3892,En la Luna,2009,"Drama, Mystery, Sci-Fi"
3893,Warehouse 13,2009–2014,"Drama, Mystery, Sci-Fi"
3894,Empty Man: El mensajero del último día,2020,"Horror, Mystery, Thriller"
3895,Bhool Bhulaiyaa,2007,"Comedy, Horror, Mystery"
3896,Señales,2002,"Drama, Mystery, Sci-Fi"
3897,Bajo la piel,I) (2013,"Drama, Horror, Mystery"
3898,El ciudadano Kane,1941,"Drama, Mystery"
3899,Hawai 5-0,1968–1980,"Crime, Drama, Mystery"
3900,Vanilla Sky,2001,"Fantasy, Mystery, Romance"
3901,Escape room: sin salida,I) (2019,"Action, Adventure, Horror"
3902,Sherlock Holmes: Juego de sombras,2011,"Action, Adventure, Mystery"
3903,Bron/Broen,2011–2018,"Crime, Mystery, Thriller"
3904,Diagnosis Murder,1993–2001,"Crime, Drama, Mystery"
3905,Cuando el destino nos alcance,1973,"Crime, Mystery, Sci-Fi"
3906,La condesa descalza,1954,"Crime, Drama, Mystery"
3907,El regalo,VI) (2015,"Drama, Mystery, Thriller"
3908,Michael Clayton,2007,"Crime, Drama, Mystery"
3909,El ritual,I) (2017,"Horror, Mystery, Thriller"
3910,The Bay,2019– ,"Crime, Drama, Mystery"
3911,La noche del demonio,I) (2010,"Horror, Mystery, Thriller"
3912,Cloud Atlas,2012,"Drama, Mystery, Sci-Fi"
3913,Identidad desconocida,2002,"Action, Mystery, Thriller"
3914,Cruel Summer,2021– ,"Drama, Mystery, Thriller"
3915,Ni un paso en falso,2021,"Crime, Drama, Mystery"
3916,Súper 8,2011,"Action, Mystery, Sci-Fi"
3917,El jardinero fiel,2005,"Drama, Mystery, Romance"
3918,Alice in Borderland,2020– ,"Action, Drama, Mystery"
3919,Spooks,2002–2011,"Action, Crime, Drama"
3920,The Lost Symbol,2021,"Action, Adventure, Drama"
3921,La vida de los otros,2006,"Drama, Mystery, Thriller"
3922,Doble de cuerpo,1984,"Crime, Drama, Mystery"
3923,Nancy Drew,2019– ,"Drama, Fantasy, Horror"
3924,The Night Manager,2016,"Crime, Drama, Mystery"
3925,La cumbre escarlata,2015,"Drama, Horror, Mystery"
3926,In the Heat of the Night,1988–1995,"Crime, Drama, Mystery"
3927,The Dry,2020,"Crime, Drama, Mystery"
3928,El demonio,2001,"Horror, Mystery"
3929,Alguien está mintiendo,2021– ,"Crime, Drama, Mystery"
3930,JAG Justicia Militar,1995–2005,"Action, Crime, Drama"
3931,Strike,2017– ,"Crime, Drama, Mystery"
3932,Cazador de silencio,2020,"Action, Crime, Mystery"
3933,Presas del diablo,2010,"Horror, Mystery, Thriller"
3934,Cleaner,2007,"Crime, Mystery, Thriller"
3935,Scream 2,1997,"Horror, Mystery"
3936,Preacher,2016–2019,"Adventure, Drama, Fantasy"
3937,Maskineriet,2020– ,"Action, Mystery, Thriller"
3938,Inferno,I) (2016,"Action, Adventure, Crime"
3939,Enemigos idénticos,2013,"Drama, Mystery, Thriller"
3940,Hudson & Rex,2019– ,"Crime, Drama, Mystery"
3941,La leyenda del tesoro perdido,2004,"Action, Adventure, Mystery"
3942,The Twilight Zone,2019–2020,"Drama, Fantasy, Horror"
3943,Sin Rumbo,2004,"Adventure, Comedy, Mystery"
3944,El secreto del abismo,1989,"Adventure, Drama, Mystery"
3945,Ratched,2020– ,"Crime, Drama, Mystery"
3946,Coherence,2013,"Drama, Mystery, Sci-Fi"
3947,Nuevo sabor a cereza,2021,"Drama, Horror, Mystery"
3948,La calle del terror (Parte 1): 1994,2021,"Drama, Horror, Mystery"
3949,Cálculo mortal,2002,"Crime, Mystery, Thriller"
3950,The Alienist,2018–2020,"Crime, Drama, Mystery"
3951,Foyle's War,2002–2015,"Crime, Drama, Mystery"
3952,Slasher,2016– ,"Crime, Drama, Horror"
3953,La ventana indiscreta,1954,"Mystery, Thriller"
3954,DC Showcase: Constantine - The House of Mystery,2022 Video,"Animation, Fantasy, Horror"
3955,CHiPs,1977–1983,"Crime, Drama, Mystery"
3956,CSI: Vegas,2021– ,"Crime, Drama, Mystery"
3957,Intriga internacional,1959,"Action, Adventure, Mystery"
3958,Los practicantes,1997–2004,"Crime, Drama, Mystery"
3959,Bajos instintos 2,2006,"Drama, Mystery, Thriller"
3960,Search Party,2016–2022,"Comedy, Crime, Drama"
3961,In the Dark,2019–2022,"Action, Crime, Horror"
3962,Unforgettable,2011–2016,"Crime, Drama, Mystery"
3963,The Chelsea Detective,2022– ,"Crime, Mystery"
3964,Aulas peligrosas,1998,"Horror, Mystery, Sci-Fi"
3965,The Hardy Boys,2020– ,"Adventure, Drama, Family"
3966,El misterio de Silver Lake,2018,"Crime, Drama, Mystery"
3967,El marginal,2016–2022,"Crime, Drama, Mystery"
3968,La cura siniestra,2016,"Drama, Fantasy, Horror"
3969,Contratiempo,2016,"Crime, Drama, Mystery"
3970,Revolver,2005,"Action, Crime, Drama"
3971,Wayward Pines,2015–2016,"Drama, Mystery, Sci-Fi"
3972,Enola Holmes 2,2022,"Action, Adventure, Crime"
3973,Safe,2018,"Crime, Drama, Mystery"
3974,La apariencia de las cosas,2021,"Drama, Horror, Mystery"
3975,Monster,2004–2010,"Animation, Crime, Drama"
3976,Oussekine,2022,"Biography, Drama, Mystery"
3977,Fuga de Pretoria,2020,"Crime, Mystery, Thriller"
3978,Leverage: Redemption,2021– ,"Crime, Mystery, Thriller"
3979,Entre besos y tiros,2005,"Comedy, Crime, Mystery"
3980,Sé lo que hicieron el verano pasado,1997,"Horror, Mystery"
3981,El protegido,2000,"Drama, Mystery, Sci-Fi"
3982,Alicia a través del espejo,2016,"Adventure, Family, Fantasy"
3983,Un Día Más Para Morir,2020,"Action, Mystery, Thriller"
3984,Desapareció una noche,2007,"Crime, Drama, Mystery"
3985,Ven A Jugar,2020,"Drama, Horror, Mystery"
3986,La monja,2018,"Horror, Mystery, Thriller"
3987,Clickbait,2021,"Crime, Drama, Mystery"
3988,Possessor: Controlador De Mentes,2020,"Horror, Mystery, Sci-Fi"
3989,Desde el infierno,2001,"Horror, Mystery, Thriller"
3990,"Martes 13, 2ª parte",1981,"Horror, Mystery, Thriller"
3991,Terror en Silent Hill,2006,"Horror, Mystery"
3992,Sin rastro,2002–2009,"Crime, Drama, Mystery"
3993,Misterio a bordo,2019,"Action, Comedy, Crime"
3994,Bajo el domo,2013–2015,"Drama, Mystery, Sci-Fi"
3995,Prodigal Son,2019–2021,"Crime, Drama, Mystery"
3996,Hijo de la oscuridad: Brightburn,2019,"Drama, Horror, Mystery"
3997,Los otros,2001,"Horror, Mystery, Thriller"
3998,Karppi,2018–2021,"Crime, Drama, Mystery"
3999,El inocente,2021– ,"Crime, Drama, Mystery"
4000,El abogado del Lincoln,2022– ,"Crime, Drama, Mystery"
4001,Better Call Saul,2015–2022,"Crime, Drama"
4002,Candy,2022,"Biography, Crime, Drama"
4003,La escalera,2022,"Biography, Crime, Drama"
4004,Ozark,2017–2022,"Crime, Drama, Thriller"
4005,Batman,2022,"Action, Crime, Drama"
4006,The Boys,2019– ,"Action, Crime, Drama"
4007,Bosch: Legacy,2022– ,"Crime, Drama"
4008,Breaking Bad,2008–2013,"Crime, Drama, Thriller"
4009,Por mandato del cielo,2022,"Crime, Drama, Mystery"
4010,Barry,2018– ,"Action, Comedy, Crime"
4011,The Rookie,2018– ,"Crime, Drama"
4012,Los Tipos Malos,2022,"Animation, Adventure, Comedy"
4013,La ciudad es nuestra,2022,"Biography, Crime, Drama"
4014,Peaky Blinders,2013–2022,"Crime, Drama"
4015,Muerte En El Nilo,2022,"Crime, Drama, Mystery"
4016,The Blacklist,2013– ,"Crime, Drama, Mystery"
4017,NCIS: Criminología Naval,2003– ,"Action, Crime, Drama"
4018,Luminosas,2022– ,"Crime, Drama, Mystery"
4019,El padrino,1972,"Crime, Drama"
4020,The Lincoln Lawyer,2011,"Crime, Drama, Mystery"
4021,La ley y el orden: Unidad de Victimas Especiales,1999– ,"Crime, Drama, Mystery"
4022,Tokyo Vice,2022– ,"Crime, Drama, Thriller"
4023,Clark,2022,"Action, Comedy, Crime"
4024,Big Sky,2020– ,"Crime, Drama, Mystery"
4025,El Peso Del Talento,2022,"Action, Comedy, Crime"
4026,Los Soprano,1999–2007,"Crime, Drama"
4027,Nuestro padre,III) (2022,"Documentary, Crime"
4028,Mentes Criminales,2005–2020,"Crime, Drama, Mystery"
4029,Ambulancia,2022,"Action, Crime, Drama"
4030,¿Qué pasó con Sara?,2021–2022,"Crime, Drama, Mystery"
4031,Bosch,2014–2021,"Crime, Drama"
4032,Spiderhead,2022,"Action, Crime, Drama"
4033,The Wire,2002–2008,"Crime, Drama, Thriller"
4034,K.G.F: Chapter 2,2022,"Action, Crime, Drama"
4035,Law & Order,1990– ,"Crime, Drama, Mystery"
4036,El mentalista,2008–2015,"Crime, Drama, Mystery"
4037,Soupçons,2004–2018,"Documentary, Crime, Drama"
4038,Tehran,2020– ,"Action, Crime, Drama"
4039,Los Caballeros,2019,"Action, Comedy, Crime"
4040,Mayans M.C.,2018– ,"Crime, Drama, Thriller"
4041,Reacher,2022– ,"Action, Crime, Drama"
4042,Chicago P.D.,2014– ,"Action, Crime, Drama"
4043,S.W.A.T.,2017– ,"Action, Adventure, Crime"
4044,Brooklyn Nine-Nine,2013–2021,"Comedy, Crime"
4045,The Outfit,2022,"Crime, Drama, Mystery"
4046,Riverdale,2017–2023,"Crime, Drama, Mystery"
4047,Castle,2009–2016,"Comedy, Crime, Drama"
4048,F.B.I.,2018– ,"Action, Crime, Drama"
4049,True Detective,2014–2019,"Crime, Drama, Mystery"
4050,Los asesinatos de Midsomer,1997– ,"Crime, Drama, Mystery"
4051,The Equalizer,2021– ,"Action, Crime, Drama"
4052,Blue Bloods,2010– ,"Crime, Drama, Mystery"
4053,Death in Paradise,2011– ,"Comedy, Crime, Drama"
4054,Daredevil,2015–2018,"Action, Crime, Drama"
4055,Fargo,2014– ,"Crime, Drama, Thriller"
4056,Only Murders in the Building,2021– ,"Comedy, Crime, Drama"
4057,NCIS: Los Angeles,2009– ,"Action, Crime, Drama"
4058,Los expedientes secretos X,1993–2018,"Crime, Drama, Mystery"
4059,Lucifer,2016–2021,"Crime, Drama, Fantasy"
4060,Bones,2005–2017,"Comedy, Crime, Drama"
4061,Batman: El Caballero de la Noche,2008,"Action, Crime, Drama"
4062,El Callejón De Las Almas Perdidas,2021,"Crime, Drama, Thriller"
4063,Los indomables,2008–2014,"Crime, Drama, Thriller"
4064,Psicópata americano,2000,"Crime, Drama, Horror"
4065,Bull,2016–2022,"Comedy, Crime, Drama"
4066,Gangubai Kathiawadi,2022,"Biography, Crime, Drama"
4067,London Fields,2018,"Crime, Mystery, Thriller"
4068,Los infiltrados,2006,"Crime, Drama, Thriller"
4069,El lobo de Wall Street,2013,"Biography, Comedy, Crime"
4070,Killers of the Flower Moon,2022,"Crime, Drama, History"
4071,Love and Death,2022– ,"Biography, Crime, Drama"
4072,Peacemaker,2022– ,"Action, Adventure, Comedy"
4073,La Casa Gucci,2021,"Crime, Drama"
4074,Incompatibles 2,2022,"Action, Comedy, Crime"
4075,Justicia Implacable,2021,"Action, Crime, Thriller"
4076,Grace,2021– ,"Crime, Drama, Mystery"
4077,Magnum P.I.,2018–2022,"Action, Adventure, Crime"
4078,Resurrection,2022,"Crime, Drama, Horror"
4079,Sherlock,2010–2017,"Crime, Drama, Mystery"
4080,Asesinato en el Expreso de Oriente,2017,"Crime, Drama, Mystery"
4081,Dark,2017–2020,"Crime, Drama, Mystery"
4082,Entre navajas y secretos,2019,"Comedy, Crime, Drama"
4083,Tiempos violentos,1994,"Crime, Drama"
4084,Orange Is the New Black,2013–2019,"Comedy, Crime, Drama"
4085,Dexter,2006–2013,"Crime, Drama, Mystery"
4086,La Casa de Papel,2017–2021,"Action, Crime, Drama"
4087,NCIS: Hawai'i,2021– ,"Action, Crime, Mystery"
4088,Élite,2018– ,"Crime, Drama, Thriller"
4089,Hawkeye,2021,"Action, Adventure, Crime"
4090,Nadie,I) (2021,"Action, Crime, Drama"
4091,Top Boy,2011– ,"Crime, Drama, Thriller"
4092,Amor Sin Barreras,2021,"Crime, Drama, Musical"
4093,The Girl from Plainville,2022,"Biography, Crime, Drama"
4094,Ley y orden: crimen organizado,2021– ,"Crime, Drama, Mystery"
4095,Guasón,I) (2019,"Crime, Drama, Thriller"
4096,FBI: Most Wanted,2020– ,"Action, Crime, Drama"
4097,¿Sabes quién es?,2022– ,"Crime, Drama, Mystery"
4098,You,2018– ,"Crime, Drama, Romance"
4099,The Sinner,2017–2021,"Crime, Drama, Mystery"
4100,Hawaii 5.0,2010–2020,"Action, Crime, Drama"
4101,Gotham,2014–2019,"Action, Crime, Drama"
4102,Mr. Robot,2015–2019,"Crime, Drama, Thriller"
4103,El padrino II,1974,"Crime, Drama"
4104,Piña express,2008,"Action, Comedy, Crime"
4105,La reportera del crimen,1984–1996,"Crime, Drama, Mystery"
4106,El robo perfecto,2018,"Action, Crime, Drama"
4107,Rápidos Y Furiosos 9,2021,"Action, Crime, Thriller"
4108,Ms. Marvel,2022– ,"Action, Adventure, Comedy"
4109,CSI: Crime Scene Investigation,2000–2015,"Crime, Drama, Mystery"
4110,La reina del sur,2016–2021,"Action, Crime, Drama"
4111,42 días en la oscuridad,2022– ,"Crime, Drama, Mystery"
4112,Titanes,I) (2018– ,"Action, Adventure, Crime"
4113,"Seven, los siete pecados capitales",1995,"Crime, Drama, Mystery"
4114,Perry Mason,1957–1966,"Crime, Drama, Mystery"
4115,Animal Kingdom,2016–2022,"Crime, Drama"
4116,The Thing About Pam,2022,"Crime, Drama"
4117,Prison Break,2005–2017,"Action, Crime, Drama"
4118,Midhunter,2017–2019,"Crime, Drama, Mystery"
4119,Justified: La ley de Raylan,2010–2015,"Action, Crime, Drama"
4120,Psych,2006–2014,"Comedy, Crime, Mystery"
4121,Arrow,2012–2020,"Action, Adventure, Crime"
4122,Taxi Driver,1976,"Crime, Drama"
4123,Now and Then,2022– ,"Crime, Drama, Mystery"
4124,Homeland,2011–2020,"Crime, Drama, Mystery"
4125,Thar,2022,"Action, Crime, Drama"
4126,Nuevos policías,1987–1991,"Crime, Drama, Mystery"
4127,Fuego contra fuego,1995,"Action, Crime, Drama"
4128,Buenos muchachos,1990,"Biography, Crime, Drama"
4129,Murdoch Mysteries,2008– ,"Crime, Drama, Mystery"
4130,Inside No. 9,2014– ,"Comedy, Crime, Drama"
4131,Narcos,2015–2017,"Biography, Crime, Drama"
4132,Inhala,2001,"Biography, Crime, Drama"
4133,Sin lugar para los débiles,2007,"Crime, Drama, Thriller"
4134,Yegua de Easttown,2021,"Crime, Drama, Mystery"
4135,Poirot,1989–2013,"Crime, Drama, Mystery"
4136,The Punisher,2017–2019,"Action, Crime, Drama"
4137,24,2001–2010,"Action, Crime, Drama"
4138,Father Brown,2013– ,"Crime, Drama, Mystery"
4139,Monk,2002–2009,"Comedy, Crime, Drama"
4140,Line of Duty,2012–2021,"Crime, Drama, Mystery"
4141,Fast X,2023,"Action, Crime, Mystery"
4142,Érase una vez en América,1984,"Crime, Drama"
4143,G.I. Joe: Snake Eyes,2021,"Action, Adventure, Crime"
4144,Los marginados,1983,"Crime, Drama"
4145,Columbo,1971–2003,"Crime, Drama, Mystery"
4146,Los federales,1998,"Action, Crime, Thriller"
4147,Intriga,2013,"Crime, Drama, Mystery"
4148,Criaturas salvajes,1998,"Crime, Drama, Mystery"
4149,How to Get Away with Murder,2014–2020,"Crime, Drama, Mystery"
4150,Outer Banks,2020– ,"Action, Crime, Drama"
4151,Big Little Lies,2017–2019,"Crime, Drama, Mystery"
4152,El perfecto asesino,1994,"Action, Crime, Drama"
